,country,year,ppl_acc,ppl_no_acc,gdp_capita,e_non_ebt,e_ebt,e_co2_em
34,Argentina,1999,34715052,1933016,15150,582.853024241,71.61929696809999,46698188.74444687
35,Argentina,2000,35241342,1816110,14918,588.7153020029999,91.4311010858,45774161.5926777
36,Argentina,2001,35789437,1682072,13913,560.1945141799999,112.00524340600002,40349174.63257352
37,Argentina,2002,36297072,1592298,11871,529.152222292,111.55460825199998,37434331.20020863
38,Argentina,2003,36828418,1480961,12636,582.9388168329999,105.716262264,41504863.7161001
39,Argentina,2004,37361836,1366860,13664,630.99464382,95.72549967500001,50154741.81897784
40,Argentina,2005,37897920,1247568,14832,669.21150155,106.56832755299999,51312835.58375792
41,Argentina,2006,38438274,1120616,15871,696.707391327,119.10826398600001,55352572.1482363
42,Argentina,2007,38986722,983502,17303,749.3307291799999,103.627396302,58919494.32114522
43,Argentina,2008,39548140,834249,18283,765.8163667700001,102.459555686,64784525.762997665
44,Argentina,2009,40131670,667737,16893,740.3319009879999,111.97016781699999,64727813.43573963
45,Argentina,2010,40737447,486442,18660,785.57580096,112.05708505400001,66993054.26393643
46,Argentina,2011,41330357,326522,20003,805.41177962,110.15634314699999,70185283.90192561
47,Argentina,2012,41921790,174949,19841,837.7660920999999,104.494359409,73549988.72019213
48,Argentina,2013,42470639,69286,19876,867.7993282499999,114.80468163399999,70476859.72069024
49,Argentina,2014,42963997,17518,19000,863.13529742,115.26700065899999,77093323.41755041
50,Australia,1990,17065100,0,27767,1014.0480755000001,40.839473680999994,153142518.43464646
51,Australia,1991,17284000,0,26671,1004.9115066999999,43.10118420799999,155796723.6484787
52,Australia,1992,17495000,0,28053,1014.8823389,43.746315790000004,158808764.89884126
53,Australia,1993,17667000,0,28463,1043.8680786,44.930526316,160401694.7664621
54,Australia,1994,17855000,0,29582,1087.972699,44.393157895,162449114.21684223
55,Australia,1995,18072000,0,30514,1119.143895,43.380657899,169235666.6029422
56,Australia,1996,18311000,0,31419,1147.2388407,44.598947368,175228050.33117807
57,Australia,1997,18517000,0,32433,1177.2980259,44.704342108,180091183.70907775
58,Australia,1998,18711000,0,33260,1206.0098478,44.55947368400001,196810378.99941453
59,Australia,1999,18926000,0,34643,1259.2572335,46.048947367000004,203198872.35385355
60,Australia,2000,19153000,0,36001,1264.7923959,46.149342108999996,206098980.33561677
61,Australia,2001,19413000,0,36266,1277.9521019,45.426710529,214309682.1326493
62,Australia,2002,19651400,0,37409,1296.0436134000001,47.246447371,227095481.2493014
63,Australia,2003,19895400,0,37889,1314.6813261999998,49.13052632,225035474.86996412
64,Australia,2004,20127400,0,39031,1358.4453818,50.973289469,234981502.0130068
65,Australia,2005,20394800,0,41158,1351.2002499999999,54.525789483000004,240033927.78811347
66,Australia,2006,20697900,0,41311,1434.361778,55.624210529,245484706.22684225
67,Australia,2007,20827600,0,42278,1457.0856842999997,53.394210531,250997466.00055912
68,Australia,2008,21249200,0,43965,1488.0439113,50.286578947,251370037.17464128
69,Australia,2009,21691700,0,42914,1474.7999115000002,53.044321126999996,258761331.25626415
70,Australia,2010,22031750,0,45398,1475.8129681,58.28999547,255940781.71916154
71,Australia,2011,22340024,0,46132,1505.0594925,80.748675183,248819295.03051588
72,Australia,2012,22742475,0,44871,1485.8189388,79.783815793,247964770.3732426
73,Australia,2013,23145901,0,44042,1479.9103972999999,93.63697368,236422746.03167745
74,Australia,2014,23504138,0,43887,1512.275803,86.335163159,229617300.2618737
75,Austria,1990,7677850,0,24175,238.85219251,85.924960524,22025859.200469647
76,Austria,1991,7754891,0,25456,255.18791013,85.971663154,22609748.793451335
77,Austria,1992,7840709,0,26127,239.27410635,95.20411579,19024114.689928707
78,Austria,1993,7905633,0,26424,239.81624023,100.17807105199999,19216769.146871746
79,Austria,1994,7936118,0,27796,241.03588722,97.155407892,20832145.800955907
80,Austria,1995,7948278,0,28938,252.07947910999997,102.43800789199999,22292685.18093195
81,Austria,1996,7959017,0,29266,261.82619465,94.240934212,22704049.428589445
82,Austria,1997,7968041,0,31019,263.57186015999997,99.57543947,23437520.487504527
83,Austria,1998,7976789,0,32638,265.95621258999995,102.77134210900002,22135481.489422433
84,Austria,1999,7992324,0,33821,264.906215,111.44482270700001,21322291.09156228
85,Austria,2000,8011566,0,35714,263.07868019,114.29981541000001,20991274.670700014
86,Austria,2001,8042293,0,34946,281.29148874000003,111.31656222100001,22772887.60145524
87,Austria,2002,8081957,0,35923,283.85740358,110.419596858,23475661.13514494
88,Austria,2003,8121423,0,35820,307.90743555999995,92.915560632,25828916.156237185
89,Austria,2004,8171966,0,36845,303.23055233,104.64213947300001,26172297.72977548
90,Austria,2005,8227829,0,37653,308.01907205,107.591020548,27179494.80231514
91,Austria,2006,8268641,0,39100,304.99673816000006,107.023071543,26085600.405868012
92,Austria,2007,8295487,0,40418,289.57032197,113.624955464,25497820.42330056
93,Austria,2008,8321496,0,40828,294.60658082,117.56098027499999,25238077.176923998
94,Austria,2009,8343323,0,40055,275.24229352,124.15063156800001,21469955.869835965
95,Austria,2010,8363404,0,40500,295.17333124999993,118.36730325600001,25571793.74871675
96,Austria,2011,8391643,0,41446,279.40400776,107.542478534,25555786.43366288
97,Austria,2012,8429991,0,43052,271.85167076000005,134.767508563,23676195.520670988
98,Austria,2013,8479823,0,43175,270.33054026,132.657933026,22804709.69329458
99,Austria,2014,8546356,0,44894,256.26050302,131.519920022,20931488.29198331
100,Azerbaijan,1990,6863350,295650,9224,255.4000016,4.363157895,25707020.067891907
101,Azerbaijan,1991,6992065,278935,13196,244.91119339,4.629736842,26252530.738779765
102,Azerbaijan,1992,7120435,261565,9160,209.04211218,4.598157895,30458355.70197682
103,Azerbaijan,1993,7251161,243839,5163,178.67002453,6.384210526,28980201.498690803
104,Azerbaijan,1994,7371404,225596,4014,165.32568405,4.815789474,21294781.76503045
105,Azerbaijan,1995,7477896,207104,2427,155.92067369,4.094736842,15883514.102830932
106,Azerbaijan,1996,7574164,188836,2322,127.10332844999999,4.044736842,17087059.67650784
